name,common_name,pattern,location_found,scope,confidence_no_fp,expected_countries,source,exp_url,notes
cl.dns_isp_ru_AS15378,,95.213.158.61,dns,isp,7,['RU'],[''],https://explorer.ooni.org/measurement/20220305T053351Z_webconnectivity_RU_15378_n1_wsIzPXq2OLRTBIAq?input=http%3A%2F%2Fwww.bbc.com,AS of returned IP is mapped to russian hosting provider AS49505 (SELECTEL). Pattern is consistent for several blocked sites.
cl.dns_isp_ru_AS197460,,46.175.31.251,dns,isp,8,['RU'],[''],https://explorer.ooni.org/measurement/20220305T044706Z_webconnectivity_RU_197460_n1_moH7izWEhyf8UJ81?input=https%3A%2F%2Fwww.bbc.com%2Fnews,"Likely used to be a blockpage. The PTR record is host-46-175-31-251.rev.zencom.ru and the AS is AS197460, which is consistent with the network where we observe it. As of 2022-03-05 the session times out when attempting to fetch the index via HTTP (port 80 is open though)."
cl.dns_isp_ru_AS212614,,62.33.207.197,dns,isp,10,['RU'],[''],https://explorer.ooni.org/measurement/20220303T144538Z_webconnectivity_RU_212614_n1_GNQli0Mie4NBJrkp?input=https%3A%2F%2F200rf.com%2F,"netname of the ip range is ""TTK-SECURITY"". As of 2022-03-05 you get connection refused when connecting to port 80."
cl.dns_isp_ru_AS212614_2,,62.33.207.196,dns,isp,8,['RU'],[''],https://explorer.ooni.org/measurement/20220303T144538Z_webconnectivity_RU_212614_n1_GNQli0Mie4NBJrkp?input=https%3A%2F%2F200rf.com%2F,"netname of the ip range is ""TTK-SECURITY"". As of 2022-03-05 you get connection refused when connecting to port 80."
cl.dns_isp_ru_AS3335,,84.237.49.190,dns,isp,8,['RU'],[''],https://explorer.ooni.org/measurement/20220304T062438Z_webconnectivity_RU_3335_n1_mn3OTB1761hQW6PB?input=https%3A%2F%2Fwww.bbc.com%2F,PTR record host190.49.237.84.nsu.ru and AS is AS3335. As of 2022-03-05 a 503 error is returned when accessing page.
cl.dns_isp_ru_AS35807,,100.64.64.66,dns,isp,7,['RU'],[''],https://explorer.ooni.org/measurement/20220305T121024Z_webconnectivity_RU_35807_n1_QkCl4ZggAoowPpAI?input=http%3A%2F%2Fwww.bbc.com%2Fnews,"Private IP space, but behaviour is consistent on AS35807 for blocked domains."
cl.dns_isp_ru_AS42429,,77.238.226.53,dns,isp,10,['RU'],[''],https://explorer.ooni.org/measurement/20220302T003421Z_webconnectivity_RU_42429_n1_4xzf7tPugdylxlAj?input=https%3A%2F%2Fwww.currenttime.tv%2Ftv%2Fschedule%2F92%2F,Serves a blockpage
cl.dns_isp_ru_AS51547,,80.76.104.20,dns,isp,10,['RU'],[''],https://explorer.ooni.org/measurement/20220304T163214Z_webconnectivity_RU_51547_n1_oUciU7VqaGrmL4HA?input=https%3A%2F%2Fwww.bbc.com%2Fnews%2Fworld-51235105,PTR records are block.tdsplus.ru & balance.tdsplus.ru. We get connection refused when attempting to access it.
cl.dns_isp_ru_AS52207,,188.186.157.49,dns,isp,10,['RU'],[''],https://explorer.ooni.org/measurement/20220305T120459Z_webconnectivity_RU_52207_n1_AlXw32CjmNRv0WxI?input=http%3A%2F%2Fwww.bbc.com%2Fnews,PTR record is k8s-lb-onlyhttp-cluster-ingress.static.cc.ertelecom.ru. Serves blockpage for: http://lawfilter.ertelecom.ru/
cl.dns_isp_ru_AS52207_2,,195.128.72.3,dns,isp,10,['RU'],[''],https://explorer.ooni.org/measurement/20220304T055948Z_webconnectivity_RU_52207_n1_H0I8CD7nFoMYXxCx?input=https%3A%2F%2Fwww.bbc.com%2F,Serves a blockpage
cl.dns_isp_ru_AS60139,,185.77.150.2,dns,isp,10,['RU'],[''],https://explorer.ooni.org/measurement/20220303T120931Z_webconnectivity_RU_60139_n1_RqlkvqFzTf9cySzI?input=https%3A%2F%2Fwww.currenttime.tv%2Ftv%2Fschedule%2F92%2F,Serves a cute cat blockpage
cl.dns_isp_ru_AS8369,,78.29.1.40,dns,isp,10,['RU'],[''],https://explorer.ooni.org/measurement/20220301T122933Z_webconnectivity_RU_8369_n1_M8IHOk8AdoWew7sE?input=https%3A%2F%2Fwww.currenttime.tv%2F,"ASN of the IP is AS8369, which is consistent with the network of the measurement. Connections timeout when attempting to establish a connection on port 80."
cl.dns_isp_ru_AS8427,,188.43.20.67,dns,isp,10,['RU'],[''],https://explorer.ooni.org/measurement/20220305T035626Z_webconnectivity_RU_8427_n1_6zMQbsKYAsOva4L7?input=https%3A%2F%2Fwww.bbc.com%2Frussian%2F,Serves a blockpage for ttk ISP
cl.dns_isp_ru_AS8790,,85.142.29.248,dns,isp,10,['RU'],[''],https://explorer.ooni.org/measurement/20220305T121053Z_webconnectivity_RU_8790_n1_OfI9eozoHc8C4Xkd?input=http%3A%2F%2Fwww.bbc.com%2Fnews,PTR record is block.runnet.ru. We get a blockpage when attempting to access it.
cl.dns_isp_ru_rkn_enforta,,87.241.223.133,dns,isp,10,['RU'],['https://www.enforta.ru/'],,Russian ISP Enforta blockpage
cl.dns_isp_ru_rkn_ertelecom,,5.3.3.17,dns,isp,10,['RU'],['https://ertelecom.ru/'],https://explorer.ooni.org/measurement/20180313T233202Z_AS51645_dIEFx0okmP7iqOXN3x1p97EObb6Z1oLDQYOHFLVvfn7c0FKRW6?input=http://bluesystem.ru/,Russian ISP Ertelecom RKN blockpage
cl.dns_isp_ru_rkn_mastertel,,83.69.208.124,dns,isp,10,['RU'],['http://mastertel.ru/'],,"Russian ISP Mastertel (business focused, telecom provider, datacenters, etc) RKN blockpage"
cl.dns_isp_ru_rkn_naukanet,,46.175.31.250,dns,isp,10,['RU'],['https://www.naukanet.ru/'],https://explorer.ooni.org/measurement/20200318T090603Z_AS8641_sZfld8WLVRMRZ6Oa6uj23WNddUJ5zFCFLL5JCNBqorFDn1P050?input=http://www.lesbi.ru/,Russian ISP Nauka-Svyaz RKN blockpage
cl.dns_isp_ru_rkn_netbynet,,212.1.226.59,dns,isp,10,['RU'],['http://www.netbynet.ru/'],,Russian ISP NetByNet RKN blockpage
cl.dns_isp_ru_rkn_skynet,,185.37.129.10,dns,isp,10,['RU'],['https://www.sknt.ru/'],https://explorer.ooni.org/measurement/20190628T034744Z_AS35807_4XwiNixlQ8odJ6ek21IUmKwtvCecSOWoII5ZjwqzCCgx6Sx9a3?input=http://bluesystem.ru/,Russian ISP Skynet RKN blockpage
cl.dns_isp_ru_rkn_smoltelecom,,37.44.40.254,dns,isp,10,['RU'],['http://smoltelecom.ru/'],,Russian ISP Smoltelecom blockpage
cl.dns_isp_sg_starhub_block,,202.156.3.53,dns,isp,10,['SG'],[''],https://explorer.ooni.org/measurement/20210809T082132Z_webconnectivity_SG_55430_n1_7ImHaJauRVvTo2eF?input=http://www.playboy.com/,Singaporean ISP Starhub blockpage
cl.dns_isp_tr_turknet_chat,,193.192.98.43,dns,isp,10,['TR'],['https://turk.net/'],,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
cl.dns_isp_tr_turknet_chat_and_socialmedia,,193.192.98.46,dns,isp,10,['TR'],['https://turk.net/'],,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
cl.dns_isp_tr_turknet_familyprofile,,193.192.98.41,dns,isp,10,['TR'],['https://turk.net/'],,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
cl.dns_isp_tr_turknet_game,,193.192.98.45,dns,isp,10,['TR'],['https://turk.net/'],,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
cl.dns_isp_tr_turknet_game_and_chat,,193.192.98.48,dns,isp,10,['TR'],['https://turk.net/'],,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
cl.dns_isp_tr_turknet_game_and_socialmedia,,193.192.98.47,dns,isp,10,['TR'],['https://turk.net/'],,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
cl.dns_isp_tr_turknet_game_chat_socialmedia,,193.192.98.49,dns,isp,10,['TR'],['https://turk.net/'],,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
cl.dns_isp_tr_turknet_socialmedia,,193.192.98.42,dns,isp,10,['TR'],['https://turk.net/'],,Turkish ISP Turk Net optin family oriented DNS service (this is DIFFERENT than the Turk Telecom secureinternet)
cl.dns_nat_cn_poison_01,,8.7.198.45,dns,nat,10,['CN'],"['https://viewdns.info/research/dns-cache-poisoning-in-the-peoples-republic-of-china/', 'https://ora.ox.ac.uk/objects/uuid:33adc5ff-53d6-4f31-9596-c809de2417de/download_file?safe_filename=14092016-acm-alt-2015.pdf&file_format=application%2Fpdf&type_of_work=Conference+item']",,A published poison reply IP related to Chinese GFW (ARIN)
cl.dns_nat_cn_poison_02,,37.61.54.158,dns,nat,10,['CN'],"['https://viewdns.info/research/dns-cache-poisoning-in-the-peoples-republic-of-china/', 'https://ora.ox.ac.uk/objects/uuid:33adc5ff-53d6-4f31-9596-c809de2417de/download_file?safe_filename=14092016-acm-alt-2015.pdf&file_format=application%2Fpdf&type_of_work=Conference+item']",,A published poison reply IP related to Chinese GFW (European Regional Registry)
cl.dns_nat_cn_poison_03,,46.82.174.68,dns,nat,10,['CN'],"['https://viewdns.info/research/dns-cache-poisoning-in-the-peoples-republic-of-china/', 'https://ora.ox.ac.uk/objects/uuid:33adc5ff-53d6-4f31-9596-c809de2417de/download_file?safe_filename=14092016-acm-alt-2015.pdf&file_format=application%2Fpdf&type_of_work=Conference+item']",,A published poison reply IP related to Chinese GFW (Deutsche Telecom)
cl.dns_nat_cn_poison_04,,78.16.49.15,dns,nat,10,['CN'],"['https://viewdns.info/research/dns-cache-poisoning-in-the-peoples-republic-of-china/', 'https://ora.ox.ac.uk/objects/uuid:33adc5ff-53d6-4f31-9596-c809de2417de/download_file?safe_filename=14092016-acm-alt-2015.pdf&file_format=application%2Fpdf&type_of_work=Conference+item']",https://explorer.ooni.org/measurement/20191205T074509Z_AS4134_snD532tevf4HneyRwKvtRLSxBppvIFgxGq8FwjFKH3R1eSVv1m?input=http://kareemazmy.blogspot.com/,A published poison reply IP related to Chinese GFW (Esat Telecommunications Limited)
cl.dns_nat_cn_poison_05,,93.46.8.89,dns,nat,10,['CN'],"['https://viewdns.info/research/dns-cache-poisoning-in-the-peoples-republic-of-china/', 'https://ora.ox.ac.uk/objects/uuid:33adc5ff-53d6-4f31-9596-c809de2417de/download_file?safe_filename=14092016-acm-alt-2015.pdf&file_format=application%2Fpdf&type_of_work=Conference+item']",,A published poison reply IP related to Chinese GFW (Fastweb)
cl.dns_nat_cn_poison_06,,159.106.121.75,dns,nat,10,['CN'],"['https://viewdns.info/research/dns-cache-poisoning-in-the-peoples-republic-of-china/', 'https://ora.ox.ac.uk/objects/uuid:33adc5ff-53d6-4f31-9596-c809de2417de/download_file?safe_filename=14092016-acm-alt-2015.pdf&file_format=application%2Fpdf&type_of_work=Conference+item']",,A published poison reply IP related to Chinese GFW (DoD)
cl.dns_nat_cn_poison_07,,203.98.7.65,dns,nat,10,['CN'],['https://viewdns.info/research/dns-cache-poisoning-in-the-peoples-republic-of-china/'],,A published poison reply IP related to Chinese GFW (Telstra)
cl.dns_nat_cn_poison_08,,59.24.3.173,dns,nat,10,['CN'],['https://ora.ox.ac.uk/objects/uuid:33adc5ff-53d6-4f31-9596-c809de2417de/download_file?safe_filename=14092016-acm-alt-2015.pdf&file_format=application%2Fpdf&type_of_work=Conference+item'],,A published poison reply IP related to Chinese GFW (Korea Telecom)
cl.dns_nat_cn_poison_10,,243.185.187.39,dns,nat,10,['CN'],['https://ora.ox.ac.uk/objects/uuid:33adc5ff-53d6-4f31-9596-c809de2417de/download_file?safe_filename=14092016-acm-alt-2015.pdf&file_format=application%2Fpdf&type_of_work=Conference+item'],,A published poison reply IP related to Chinese GFW
cl.dns_nat_id_trustpositif,,trustpositif.kominfo.go.id,dns,nat,10,['ID'],[''],,Matches a CNAME record of the official Indonesidan filter TrustPositif
cl.dns_nat_ir_inject_1,,10.10.34.34,dns,nat,10,['IR'],['https://censorbib.nymity.ch/pdf/Aryan2013a.pdf'],https://explorer.ooni.org/measurement/20170525T030641Z_AS50810_5iVwM98EMQORqXeZtbhiDquo9zifyYSMmE5AWTARCw3XJ1R4is?input=http://pesareghabile.blogspot.com,An injection to the Iranian national blockpage.
cl.dns_nat_ir_inject_2,,10.10.34.35,dns,nat,10,['IR'],['https://censorbib.nymity.ch/pdf/Aryan2013a.pdf'],https://explorer.ooni.org/measurement/20180114T045727Z_AS61173_bkL7bV97kNEYVREkD0Lg4LnvnnlDtlNlbvA1jbzPlsncPdNlIm?input=http://queerquotes.blogspot.com,An injection to the Iranian national blockpage.
cl.dns_nat_it_adm_block,,217.175.53.72,dns,nat,10,['IT'],[''],https://explorer.ooni.org/measurement/20211023T083841Z_webconnectivity_IT_30722_n1_hPb937VUDh5Q2NoY?input=http://www.sportingbet.com/,Italian sport/gaming related DNS block
cl.dns_nat_it_agcom_block,,83.224.65.74,dns,nat,10,['IT'],[''],https://explorer.ooni.org/measurement/20211021T193015Z_webconnectivity_IT_30722_n1_Sk3HeZOfHero7Ir9?input=http://gamestorrents.com/,Italian copyright related DNS block
cl.dns_nat_mm_transportcomms_block,,167.172.4.60,dns,nat,10,['MM'],['https://ooni.org/post/2020-myanmar-blocks-websites-amid-covid19/'],https://explorer.ooni.org/measurement/20210201T223944Z_webconnectivity_MM_133385_n1_LlJnFqnaVXNfXygL?input=http://www.hornybank.com/,A false DNS response with Ministry of Transport and Communications of Myanmar branding.
cl.dns_nat_mn_crc,,218.100.84.78,dns,nat,10,['MN'],[''],,Mongolian block due to legal reasoning.
cl.dns_nat_my_violates,,175.139.142.25,dns,nat,10,['MY'],['https://github.com/ooni/pipeline/issues/35'],https://explorer.ooni.org/measurement/20190503T024619Z_AS4788_agTXVdX7lipOjGFLnaQQFSkxEMVNoXopd20czlazmSW5XIofs4?input=http://www.gaystarnews.com/,This website is not available in Malaysia as it violate(s) the National law(s). DNS response
cl.dns_nat_th_mdes_illegal,,125.26.170.3,dns,nat,10,['TH'],['https://www.matichon.co.th/politics/news_2396830/attachment/%E0%B8%97%E0%B8%A7%E0%B8%B5%E0%B8%953'],https://explorer.ooni.org/measurement/20201228T234534Z_webconnectivity_TH_131445_n1_deRHboYpdtGToSqk?input=http://www.bbc.com/news/world-asia-38126928/,"A false DNS response with Thai Ministry of Digital Economy and Society branding, suggesting this site is illegal based on the computer crime act and gambling act."
cl.dns_nat_tr_poison,,195.175.254.2,dns,nat,10,['TR'],"['https://www.bortzmeyer.org/files/bortzmeyer-google-dns-turkey.pdf', 'https://labs.ripe.net/Members/emileaben/a-ripe-atlas-view-of-internet-meddling-in-turkeyhttps://twitter.com/isik5/status/449915384762605568?lang=en', 'https://www.abuseipdb.com/check/195.175.254.2', 'https://eksisozluk.com/195-175-254-2--4192251']",,A poisoned DNS reply used in Turkey since 2014
cl.dns_prod_cleanbrowsing_1,,185.228.168.254,dns,prod,10,[''],['https://cleanbrowsing.org/'],https://explorer.ooni.org/measurement/20190824T132919Z_AS5650_gwWRIicciG8fgrTzTFnuvsmlAHFOWgiAIAuDeL9RgH05TQsY3L?input=http://www.samesexmarriage.ca/,Cleanbrowsing DNS content filter
cl.dns_prod_cleanbrowsing_2,,207.246.127.171,dns,prod,10,[''],['https://cleanbrowsing.org/'],,Cleanbrowsing DNS content filter
cl.dns_prod_cleanbrowsing_3,,45.77.77.148,dns,prod,10,[''],['https://cleanbrowsing.org/'],,Cleanbrowsing DNS content filter
cl.dns_prod_cloudveil,,45.32.203.129,dns,prod,10,[''],['https://www.cloudveil.org/'],,"Faith focused DNS filtering system provided by the Church of God in Christ, Mennonite."
cl.dns_prod_dnswatch_1,,3.93.224.57,dns,prod,10,[''],['https://www.watchguard.com/wgrd-products/security-services/dnswatch'],,Security focused DNS filter provided by WatchGuard Technologies
cl.dns_prod_dnswatch_2,,52.206.227.167,dns,prod,10,[''],['https://www.watchguard.com/wgrd-products/security-services/dnswatch'],,Security focused DNS filter provided by WatchGuard Technologies
cl.dns_prod_flashstart,,185.236.104.104,dns,prod,10,[''],['https://flashstart.com/'],https://explorer.ooni.org/measurement/20180212T093619Z_AS12874_ivZ63xkT6Tqmlz8SyoIsbdkQNfN85CyNZTO1ZVeYTZFRh24xb8?input=http://www.gayscape.com,Security focused DNS content filter
cl.dns_prod_fortidns,,208.91.112.55,dns,prod,10,[],"['https://docs.fortinet.com/document/fortigate/6.0.0/cookbook/124730/troubleshooting', 'https://docs.fortinet.com/product/fortidns/1.3']",https://explorer.ooni.org/measurement/20190404T082635Z_AS6661_WCvp1TnPzuxfEVQl2ZjgPGkDiLXre1Lenrp1cUiwEUJ1oEk6PV?input=https://www.scruff.com/,Fortinet FortiDNS product
cl.dns_prod_id_nawala,,180.131.146.7,dns,prod,10,['ID'],['https://nawala.id/'],https://explorer.ooni.org/measurement/20170214T023529Z_AS17974_1hVbJGBPLdOsxQvNgIawwvABxfZuLNeVK5VaY1XWajguEt0yK3?input=http://www.lesbian.org,Indonesian Sehat DNS filtering product
cl.dns_prod_opendns_1,,146.112.61.106,dns,prod,10,[],['https://www.opendns.com/cisco-opendns/'],https://explorer.ooni.org/measurement/20170209T174739Z_AS1136_wBIk5bny3acHUuSTuZ8sqtFnKcU47tiRY0LEw08s9m9VDZBsO3?input=http://gayromeo.com,Cisco OpenDNS a popular DNS filtering system. NOTE: there is probably a more sophisticated way to track these IE - CNAME used in the redir.
cl.dns_prod_opendns_2,,208.69.32.164,dns,prod,10,[],['https://www.opendns.com/cisco-opendns/'],https://explorer.ooni.org/measurement/20191007T155258Z_AS20115_DS8uyNobQ0CH9o9fls70ftC1ItOJ7dK5OlMG3YBs7NYrIXQ2Ty?input=https://www.planetromeo.com/,Cisco OpenDNS a popular DNS filtering system. NOTE: there is probably a more sophisticated way to track these IE - CNAME used in the redir.
cl.dns_prod_ru_netpolice,,159.255.26.69,dns,prod,10,['RU'],['http://www.netpolice.ru/'],,Russian DNS based RKN filtering proudct.
cl.dns_prod_safedns,,195.46.39.11,dns,prod,10,[''],['https://www.safedns.com/en/'],https://explorer.ooni.org/measurement/20191115T114711Z_AS12390_NIVFbxg8nx3pPxL5vbk2Fg4duFANRINLyvIaMNuzyDPiMdY2X3?input=https://bisexual.org/,"SafeDNS filtering for home, edu, telecom. Cloud based filtering product."
cl.dns_prod_securely_1,,204.110.220.2,dns,prod,10,[],['https://www.securly.com/'],,DNS filtering product for schools
cl.dns_prod_securely_2,,52.52.63.90,dns,prod,10,[],['https://www.securly.com/'],,DNS filtering product for schools
cl.dns_prod_skydns_1,,193.58.251.1,dns,prod,10,['RU'],['https://www.skydns.ru/'],https://explorer.ooni.org/measurement/20171003T161217Z_AS15599_eoh3aUHQ7NV5LwWDA3Br8Hf3FGcgxG3s8mjxFd40cSWcV5BL23?input=http://lgbt.foundation/,Russian DNS filter product
cl.dns_prod_skydns_2,,193.58.251.11,dns,prod,10,['RU'],['https://www.skydns.ru/'],,Russian DNS filter product
cl.dns_prod_skydns_3,,95.217.66.240,dns,prod,10,['RU'],['https://www.skydns.ru/'],,Russian DNS filter product
cl.dns_prod_smartdns_proxy,,54.242.237.204,dns,prod,10,[''],['https://www.smartdnsproxy.com/Services'],,A geoip avoidance/unblocking DNS service
cl.dns_prod_yandex_security_check,,93.158.134.250,dns,prod,10,['RU'],['https://yandex.ru/safety/'],https://explorer.ooni.org/measurement/20180919T192809Z_AS34984_Rlb0RqQAPfo5LqUQHWREV7c1sxNXcHSGHrVftNTgOoVBhAcu20?input=http://www.exgay.com,Yandex Check Site Security Status Response
ooni.pl_2,,145.237.235.240,dns,nat,5,['PL'],['ooni'],,
ooni.pl_3,,195.187.6.33,dns,nat,5,['PL'],['ooni'],,
ooni.pl_4,,195.187.6.34,dns,nat,5,['PL'],['ooni'],,
ooni.pl_5,,195.187.6.35,dns,nat,5,['PL'],['ooni'],,
ooni.pl_6,,78.133.250.166,dns,nat,5,['PL'],['ooni'],,
ooni.pl_7,,195.116.107.98,dns,nat,5,['PL'],['ooni'],,
